# fr-CH
"Symbol","Keystrokes"
"TAB","TAB"
"RETURN","RETURN"
"SPACE","SPACE"
"!","SHIFT+OEM_3"
"""","SHIFT+TWO"
"#","RMENU+THREE"
"$","OEM_8"
"%","SHIFT+FIVE"
"&","SHIFT+SIX"
"'","OEM_4"
"(","SHIFT+EIGHT"
")","SHIFT+NINE"
"*","SHIFT+THREE"
"+","SHIFT+ONE"
",","OEM_COMMA"
"-","OEM_MINUS"
".","OEM_PERIOD"
"/","SHIFT+SEVEN"
"0","ZERO"
"1","ONE"
"2","TWO"
"3","THREE"
"4","FOUR"
"5","FIVE"
"6","SIX"
"7","SEVEN"
"8","EIGHT"
"9","NINE"
":","SHIFT+OEM_PERIOD"
";","SHIFT+OEM_COMMA"
"<","OEM_102"
"=","SHIFT+ZERO"
">","SHIFT+OEM_102"
"?","SHIFT+OEM_4"
"@","RMENU+TWO"
"A","SHIFT+A"
"B","SHIFT+B"
"C","SHIFT+C"
"D","SHIFT+D"
"E","SHIFT+E"
"F","SHIFT+F"
"G","SHIFT+G"
"H","SHIFT+H"
"I","SHIFT+I"
"J","SHIFT+J"
"K","SHIFT+K"
"L","SHIFT+L"
"M","SHIFT+M"
"N","SHIFT+N"
"O","SHIFT+O"
"P","SHIFT+P"
"Q","SHIFT+Q"
"R","SHIFT+R"
"S","SHIFT+S"
"T","SHIFT+T"
"U","SHIFT+U"
"V","SHIFT+V"
"W","SHIFT+W"
"X","SHIFT+X"
"Y","SHIFT+Y"
"Z","SHIFT+Z"
"[","RMENU+OEM_1"
"\","RMENU+OEM_102"
"]","RMENU+OEM_3"
"^","OEM_6+SPACE"
"_","SHIFT+OEM_MINUS"
"`","SHIFT+OEM_6+SPACE"
"a","A"
"b","B"
"c","C"
"d","D"
"e","E"
"f","F"
"g","G"
"h","H"
"i","I"
"j","J"
"k","K"
"l","L"
"m","M"
"n","N"
"o","O"
"p","P"
"q","Q"
"r","R"
"s","S"
"t","T"
"u","U"
"v","V"
"w","W"
"x","X"
"y","Y"
"z","Z"
"{","RMENU+OEM_5"
"|","RMENU+SEVEN"
"}","SHIFT+OEM_6+SPACE"
"~","RMENU+OEM_6+SPACE"
"£","RMENU+E"
"¦","RMENU+ONE"
"§","RMENU+FIVE"
"¬","RMENU+SIX"
"°","RMENU+FOUR"
"´","RMENU+OEM_4+SPACE"
"À","SHIFT+OEM_6+SHIFT+A"
"Ä","OEM_3+SHIFT+A"
"È","SHIFT+OEM_6+SHIFT+E"
"É","RMENU+OEM_4+SHIFT+E"
"Ö","OEM_3+SHIFT+O"
"Ü","OEM_3+SHIFT+U"
"à","OEM_5"
"ä","SHIFT+OEM_5"
"ç","SHIFT+FOUR"
"è","OEM_1"
"é","OEM_7"
"ö","SHIFT+OEM_7"
"ü","SHIFT+OEM_1"
"€","RMENU+E"
